postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS353RB,BS35,3RB,BS35 3RB,South Gloucestershire Council,SolarPanels,1,8,1,5,3.32
BS43HW,BS4,3HW,BS4 3HW,Bristol City Council,SolarPanels,,10,1,5,4.15
BS311JN,BS31,1JN,BS31 1JN,Bath and North East Somerset Council,RetroFitBattery,,0,1,7,0.00
BS495DS,BS49,5DS,BS49 5DS,North Somerset Council,SolarPanels,,12,1,12,4.98
BS78LT,BS7,8LT,BS7 8LT,Bristol City Council,SolarPanels,,6,1,5,2.49
BS483PN,BS48,3PN,BS48 3PN,North Somerset Council,SolarPanels,1,12,1,12,4.98
BS162DB,BS16,2DB,BS16 2DB,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS352YJ,BS35,2YJ,BS35 2YJ,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BA19BE,BA1,9BE,BA1 9BE,Bath and North East Somerset Council,RetroFitBattery,,0,1,7,0.00
BA17PY,BA1,7PY,BA1 7PY,Bath and North East Somerset Council,SolarPanels,,14,1,12,5.81
BS227RJ,BS22,7RJ,BS22 7RJ,North Somerset Council,SolarPanels,,14,1,7,5.81
BS92DJ,BS9,2DJ,BS9 2DJ,Bristol City Council,SolarPanels,,5,1,12,2.08
BS91DB,BS9,1DB,BS9 1DB,Bristol City Council,SolarPanels,,12,1,7,4.98
BS307SD,BS30,7SD,BS30 7SD,South Gloucestershire Council,SolarPanels,,14,1,5,5.81
BS57HJ,BS5,7HJ,BS5 7HJ,Bristol City Council,SolarPanels,,14,1,7,5.81
BS495EY,BS49,5EY,BS49 5EY,North Somerset Council,SolarPanels,1,8,1,5,3.32
BS361QT,BS36,1QT,BS36 1QT,South Gloucestershire Council,SolarPanels,,11,1,7,4.57
BS494JH,BS49,4JH,BS49 4JH,North Somerset Council,SolarPanels,1,8,1,7,3.32
BS217HL,BS21,7HL,BS21 7HL,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS348XL,BS34,8XL,BS34 8XL,South Gloucestershire Council,SolarPanels,1,8,1,5,3.32
BS208RQ,BS20,8RQ,BS20 8RQ,North Somerset Council,SolarPanels,,12,1,7,4.98
BS228SQ,BS22,8SQ,BS22 8SQ,North Somerset Council,SolarPanels,,8,1,5,3.32
BS67DT,BS6,7DT,BS6 7DT,Bristol City Council,SolarPanels,,11,1,7,4.57
BS92EH,BS9,2EH,BS9 2EH,Bristol City Council,RetroFitBattery,1,5,1,12,0.00
